Country,Time,Balance ($US),Total Exports Value ($US),Customs Import Value (Gen) ($US)
China,2002,-103064674758,22127790292,125192465050
China,2003,-124068154039,28367942859,152436096898
China,2004,-162254261479,34427772456,196682033935
China,2005,-202278094672,41192010123,243470104795
China,2006,-234101344269,53673008343,287774352612
China,2007,-258505975358,62936891576,321442866934
China,2008,-268039790280,69732837543,337772627823
China,2009,-226877204877,69496678611,296373883488
China,2010,-273041552651,91911080944,364952633595
China,2011,-295249708996,104121523635,399371232631
China,2012,-315102466965,110516615672,425619082637
China,2013,-318683830955,121746188637,440430019592
China,2014,-344817691450,123657203406,468474894856
China,2015,-367328290050,115873365314,483201655364
China,2016,-346825207126,115594784477,462419991603
China,2017,-375167870814,129997227243,505165098057
China,2018,-418953851554,120289287877,539243139431
China,2019,-345204187023,106447251090,451651438113
