Commodity,Time,Total Exports Value ($US),Customs Import Value (Gen) ($US),Balance ($US)
All Commodities,2002,22127790292,125192465050,-103064674758
All Commodities,2003,28367942859,152436096898,-124068154039
All Commodities,2004,34427772456,196682033935,-162254261479
All Commodities,2005,41192010123,243470104795,-202278094672
All Commodities,2006,53673008343,287774352612,-234101344269
All Commodities,2007,62936891576,321442866934,-258505975358
All Commodities,2008,69732837543,337772627823,-268039790280
All Commodities,2009,69496678611,296373883488,-226877204877
All Commodities,2010,91911080944,364952633595,-273041552651
All Commodities,2011,104121523635,399371232631,-295249708996
All Commodities,2012,110516615672,425619082637,-315102466965
All Commodities,2013,121746188637,440430019592,-318683830955
All Commodities,2014,123657203406,468474894856,-344817691450
All Commodities,2015,115873365314,483201655364,-367328290050
All Commodities,2016,115594784477,462419991603,-346825207126
All Commodities,2017,129997227243,505165098057,-375167870814
All Commodities,2018,120289287877,539243139431,-418953851554
All Commodities,2019,106447251090,451651438113,-345204187023
Agricultural Products,2002,1237765162,146556924,1091208238
Agricultural Products,2003,3762850737,168877508,3593973229
Agricultural Products,2004,4363594779,221275972,4142318807
Agricultural Products,2005,3896941173,260148722,3636792451
Agricultural Products,2006,4854623014,302799687,4551823327
Agricultural Products,2007,5805640782,361677850,5443962932
Agricultural Products,2008,9185740423,397203608,8788536815
Agricultural Products,2009,10575818221,384699081,10191119140
Agricultural Products,2010,13819065333,467682614,13351382719
Agricultural Products,2011,14700550316,485045854,14215504462
Agricultural Products,2012,20715384915,634860522,20080524393
Agricultural Products,2013,18901908335,673272205,18228636130
Agricultural Products,2014,18291448862,629278961,17662169901
Agricultural Products,2015,14865008612,668628648,14196379964
Agricultural Products,2016,17252704963,650405928,16602299035
Agricultural Products,2017,15779473897,599390234,15180083663
Agricultural Products,2018,5852561540,613583252,5238978288
Agricultural Products,2019,10281835068,457465599,9824369469
Livestock & Livestock Products,2002,19851464,22666301,-2814837
Livestock & Livestock Products,2003,38050055,47178903,-9128848
Livestock & Livestock Products,2004,45803584,47145573,-1341989
Livestock & Livestock Products,2005,66672334,49444216,17228118
Livestock & Livestock Products,2006,69860001,58370057,11489944
Livestock & Livestock Products,2007,73327003,48775441,24551562
Livestock & Livestock Products,2008,169685182,52317131,117368051
Livestock & Livestock Products,2009,146341318,32614497,113726821
Livestock & Livestock Products,2010,207760516,37151146,170609370
Livestock & Livestock Products,2011,216658762,38643272,178015490
Livestock & Livestock Products,2012,229485016,24871079,204613937
Livestock & Livestock Products,2013,292649576,28734742,263914834
Livestock & Livestock Products,2014,148296799,43449433,104847366
Livestock & Livestock Products,2015,198527996,29802828,168725168
Livestock & Livestock Products,2016,136130154,47408448,88721706
Livestock & Livestock Products,2017,109173629,37357957,71815672
Livestock & Livestock Products,2018,52924779,47253731,5671048
Livestock & Livestock Products,2019,52716307,37886914,14829393
"Forestry Products, Nesoi",2002,77994934,50982205,27012729
"Forestry Products, Nesoi",2003,116424339,58493558,57930781
"Forestry Products, Nesoi",2004,131472080,66725962,64746118
"Forestry Products, Nesoi",2005,174600818,75995456,98605362
"Forestry Products, Nesoi",2006,193957671,91559777,102397894
"Forestry Products, Nesoi",2007,252058715,103018999,149039716
"Forestry Products, Nesoi",2008,239498035,104435550,135062485
"Forestry Products, Nesoi",2009,261209411,103775496,157433915
"Forestry Products, Nesoi",2010,673917814,121284479,552633335
"Forestry Products, Nesoi",2011,1113118896,158327880,954791016
"Forestry Products, Nesoi",2012,834404721,168195339,666209382
"Forestry Products, Nesoi",2013,1189066848,204413320,984653528
"Forestry Products, Nesoi",2014,1269852778,175423514,1094429264
"Forestry Products, Nesoi",2015,895631590,236511469,659120121
"Forestry Products, Nesoi",2016,1054775005,245676547,809098458
"Forestry Products, Nesoi",2017,1316076147,233191847,1082884300
"Forestry Products, Nesoi",2018,1294665904,255306664,1039359240
"Forestry Products, Nesoi",2019,723973157,260008275,463964882
Marine Products,2002,146224522,771311115,-625086593
Marine Products,2003,208814986,1014042224,-805227238
Marine Products,2004,296190734,1067570265,-771379531
Marine Products,2005,388531589,1238640521,-850108932
Marine Products,2006,468507433,1694960993,-1226453560
Marine Products,2007,563651897,1737342774,-1173690877
Marine Products,2008,577200292,1864345163,-1287144871
Marine Products,2009,614465055,1733967837,-1119502782
Marine Products,2010,780420490,1996032741,-1215612251
Marine Products,2011,1196907012,2223116603,-1026209591
Marine Products,2012,1205414845,2120516296,-915101451
Marine Products,2013,1179078348,2138704724,-959626376
Marine Products,2014,1247076392,2309935067,-1062858675
Marine Products,2015,1100961785,2059599015,-958637230
Marine Products,2016,1055306693,2001830033,-946523340
Marine Products,2017,1321466780,2161196208,-839729428
Marine Products,2018,1145587583,2258850760,-1113263177
Marine Products,2019,918724107,1560060039,-641335932
Oil & Gas,2002,1112604,181949601,-180836997
Oil & Gas,2003,38068724,110633940,-72565216
Oil & Gas,2004,76004263,193734383,-117730120
Oil & Gas,2005,41734286,447112673,-405378387
Oil & Gas,2006,11826179,473942226,-462116047
Oil & Gas,2007,120309,142245577,-142125268
Oil & Gas,2008,2188557,500230164,-498041607
Oil & Gas,2009,28865480,111028359,-82162879
Oil & Gas,2010,24392272,127302537,-102910265
Oil & Gas,2011,68553757,62058807,6494950
Oil & Gas,2012,79793987,81224872,-1430885
Oil & Gas,2013,174136849,52071563,122065286
Oil & Gas,2014,360197551,549822,359647729
Oil & Gas,2015,977853458,1099951,976753507
Oil & Gas,2016,1425273584,1084089,1424189495
Oil & Gas,2017,6730487379,1397256,6729090123
Oil & Gas,2018,7059955758,1540788,7058414970
Oil & Gas,2019,3118996145,810012,3118186133
Minerals & Ores,2002,71413589,127891037,-56477448
Minerals & Ores,2003,119251002,141639287,-22388285
Minerals & Ores,2004,231090683,185775802,45314881
Minerals & Ores,2005,495514423,236698494,258815929
Minerals & Ores,2006,512301423,274396636,237904787
Minerals & Ores,2007,955275282,270679338,684595944
Minerals & Ores,2008,854770138,315952393,538817745
Minerals & Ores,2009,914582130,142352716,772229414
Minerals & Ores,2010,2057182543,187695744,1869486799
Minerals & Ores,2011,2653965196,233441288,2420523908
Minerals & Ores,2012,3069041033,272787236,2796253797
Minerals & Ores,2013,2543977015,207214636,2336762379
Minerals & Ores,2014,1826840637,243263333,1583577304
Minerals & Ores,2015,1186894284,248560717,938333567
Minerals & Ores,2016,1270323475,181337687,1088985788
Minerals & Ores,2017,1757647918,231910011,1525737907
Minerals & Ores,2018,1365923775,225144318,1140779457
Minerals & Ores,2019,575754326,186336904,389417422
Food & Kindred Products,2002,801596711,747465565,54131146
Food & Kindred Products,2003,1125497214,1014113792,111383422
Food & Kindred Products,2004,1088312109,1275743064,-187430955
Food & Kindred Products,2005,1207947676,1526217604,-318269928
Food & Kindred Products,2006,1704155560,1889506028,-185350468
Food & Kindred Products,2007,2317053318,2490292046,-173238728
Food & Kindred Products,2008,2632544180,3001001512,-368457332
Food & Kindred Products,2009,2133077348,2482868782,-349791434
Food & Kindred Products,2010,2842813679,2854057353,-11243674
Food & Kindred Products,2011,3411252353,3403813091,7439262
Food & Kindred Products,2012,4060362404,3844225404,216137000
Food & Kindred Products,2013,4638152533,3671715298,966437235
