Country,Time,Total Exports Value ($US),Customs Import Value (Gen) ($US)
Afghanistan,January 2016,"174,149,992","1,849,499"
Afghanistan,February 2016,"22,687,231","1,501,741"
Afghanistan,March 2016,"88,497,655","1,612,984"
Afghanistan,April 2016,"48,137,822","5,462,302"
Afghanistan,May 2016,"116,862,139","1,591,259"
Afghanistan,June 2016,"54,868,991","2,231,922"
Afghanistan,July 2016,"66,566,079","2,471,156"
Afghanistan,August 2016,"47,919,279","2,515,593"
Afghanistan,September 2016,"23,436,296","6,999,279"
Afghanistan,October 2016,"78,170,604","2,350,618"
Afghanistan,November 2016,"142,854,024","3,430,713"
Afghanistan,December 2016,"49,724,239","1,698,860"
Afghanistan,January 2017,"26,716,225","1,298,078"
Afghanistan,February 2017,"77,060,907","2,346,457"
Afghanistan,March 2017,"38,976,635","970,349"
Afghanistan,April 2017,"142,041,049","1,413,717"
Afghanistan,May 2017,"41,358,090","1,225,195"
Afghanistan,June 2017,"59,069,779","1,311,197"
Afghanistan,July 2017,"246,353,544","841,297"
Afghanistan,August 2017,"67,189,171","494,031"
Afghanistan,September 2017,"104,029,661","465,931"
Afghanistan,October 2017,"23,295,134","858,686"
Afghanistan,November 2017,"82,151,699","846,064"
Afghanistan,December 2017,"33,990,137","2,352,620"
Afghanistan,January 2018,"38,624,557","4,726,603"
Afghanistan,February 2018,"84,951,583","1,239,579"
Afghanistan,March 2018,"185,040,079","2,773,315"
Afghanistan,April 2018,"77,188,985","3,695,227"
Afghanistan,May 2018,"154,642,007","1,457,008"
Afghanistan,June 2018,"127,036,912","2,942,344"
Afghanistan,July 2018,"124,762,078","524,324"
Afghanistan,August 2018,"78,053,173","2,387,308"
Afghanistan,September 2018,"65,711,542","1,074,964"
Afghanistan,October 2018,"139,512,517","3,290,199"
Afghanistan,November 2018,"91,035,207","3,405,552"
Afghanistan,December 2018,"60,845,792","1,038,649"
Afghanistan,January 2019,"60,415,467","1,752,609"
Afghanistan,February 2019,"53,989,267","3,067,102"
Afghanistan,March 2019,"97,446,322","3,770,747"
Afghanistan,April 2019,"92,780,660","4,940,447"
Afghanistan,May 2019,"33,811,654","9,117,172"
Afghanistan,June 2019,"64,503,154","2,873,330"
Afghanistan,July 2019,"52,708,976","2,081,448"
Afghanistan,August 2019,"36,031,233","5,991,855"
Afghanistan,September 2019,"52,771,743","951,434"
Afghanistan,October 2019,"61,334,603","1,915,013"
Afghanistan,November 2019,"58,477,938","1,016,288"
Afghanistan,December 2019,"93,470,958","1,305,375"
Albania,January 2016,"1,736,416","1,613,255"
Albania,February 2016,"3,429,357","2,419,991"
Albania,March 2016,"3,198,063","1,478,094"
Albania,April 2016,"3,444,828","2,095,490"
Albania,May 2016,"9,525,669","11,382,911"
Albania,June 2016,"5,589,270","22,386,733"
Albania,July 2016,"3,848,630","22,231,965"
Albania,August 2016,"5,391,733","27,105,354"
Albania,September 2016,"3,110,767","15,247,986"
Albania,October 2016,"3,603,363","13,743,513"
Albania,November 2016,"4,210,043","2,819,030"
Albania,December 2016,"3,205,276","2,089,349"
Albania,January 2017,"3,024,330","2,487,946"
Albania,February 2017,"3,946,890","2,110,351"
Albania,March 2017,"4,200,007","2,340,633"
Albania,April 2017,"6,995,374","1,798,567"
Albania,May 2017,"5,693,300","5,684,186"
Albania,June 2017,"4,765,195","2,390,146"
Albania,July 2017,"4,009,022","3,210,231"
Albania,August 2017,"4,939,889","4,630,737"
Albania,September 2017,"3,465,072","6,065,681"
Albania,October 2017,"5,514,416","2,918,967"
Albania,November 2017,"4,595,255","3,108,689"
Albania,December 2017,"10,938,208","4,848,963"
Albania,January 2018,"3,085,093","5,798,655"
Albania,February 2018,"7,320,681","6,396,996"
Albania,March 2018,"6,452,673","5,979,781"
Albania,April 2018,"4,693,997","4,022,659"
Albania,May 2018,"5,001,788","4,321,802"
Albania,June 2018,"6,554,051","5,263,570"
Albania,July 2018,"4,881,596","6,588,626"
Albania,August 2018,"3,987,349","5,606,716"
Albania,September 2018,"3,471,304","6,829,519"
Albania,October 2018,"3,489,021","5,531,845"
Albania,November 2018,"6,372,135","5,731,627"
Albania,December 2018,"3,890,435","5,902,580"
Albania,January 2019,"4,235,102","6,516,876"
Albania,February 2019,"4,694,503","3,331,113"
Albania,March 2019,"4,742,575","6,173,438"
Albania,April 2019,"6,451,009","3,685,108"
Albania,May 2019,"9,116,453","6,954,610"
Albania,June 2019,"7,832,568","5,313,812"
Albania,July 2019,"5,104,141","3,053,249"
Albania,August 2019,"22,138,132","5,566,449"
Albania,September 2019,"3,480,422","4,097,318"
Albania,October 2019,"5,605,086","4,628,601"
Albania,November 2019,"7,912,681","3,637,833"
Albania,December 2019,"4,945,910","3,534,165"
Algeria,January 2016,"110,650,323","168,226,627"
